play_id,game_str,first_base,Ellipsoid,Ellipsoidx,Ellipsoidy,Ellipsoidz,has_bounce,was_caught,xCR
24,1900_01_TeamKJ_TeamB,9218,4.999999999999999,4.963869279013568,0.3895439652533365,3.63594,0,1,0.9664013385772705
26,1900_01_TeamKJ_TeamB,9218,3.400000000000002,1.438009175248614,0.4480403686062251,0,0,1,0.9595797657966614
37,1900_01_TeamKJ_TeamB,9218,1.800000000000001,-0.118034619056142,-1.717688455076847,3.3702,0,1,0.9761818647384644
42,1900_01_TeamKJ_TeamB,2196,4.600000000000001,-3.617902962152073,-2.407887571389347,2.43699,0,1,0.9761818647384644
48,1900_01_TeamKJ_TeamB,2196,3.000000000000002,3.976725976626726e-4,0.9795066726962652,0.270729,0,1,0.9761818647384644
50,1900_01_TeamKJ_TeamB,2196,4.100000000000002,-2.30724242445021,-3.29064486306516,3.68661,0,1,0.9761818647384644
55,1900_01_TeamKJ_TeamB,9218,4.100000000000002,-2.935408192551088,-2.354795471607658,2.006625,0,1,0.9761818647384644
57,1900_01_TeamKJ_TeamB,9218,2.000000000000001,0.9900147593454884,-1.445059744881884,2.779086,0,1,0.9761818647384644
65,1900_01_TeamKJ_TeamB,2196,3.500000000000002,0.7062928030303005,-1.530261286966251,0,0,1,0.9595797657966614
66,1900_01_TeamKJ_TeamB,2196,6.899999999999992,4.869748605377151,-4.828484097563878,3.49599,0,1,0.9664013385772705
70,1900_01_TeamKJ_TeamB,2196,4.100000000000002,3.456689708000295,0.9575147584266508,1.581897,0,1,0.9761818647384644
80,1900_01_TeamKJ_TeamB,9218,5.099999999999999,2.915481449110301,-3.159323574737739,0.430488,0,1,0.9761818647384644
86,1900_01_TeamKJ_TeamB,2196,4.400000000000001,1.5067909736036,-4.081214772817855,3.71895,0,1,0.9761818647384644
93,1900_01_TeamKJ_TeamB,2196,4.400000000000001,4.215135527980592,-0.8995464027806969,3.75699,0,1,0.9761818647384644
97,1900_01_TeamKJ_TeamB,9218,6.299999999999994,1.740914548951437,-5.905566287262315,5.49753,0,1,0.9761818647384644
124,1900_01_TeamKJ_TeamB,2196,4.300000000000002,-4.252949216155595,-0.4468108825906538,3.94683,0,1,0.9761818647384644
161,1900_01_TeamKJ_TeamB,9218,4.7,4.018376365575219,-2.265961214272323,5.1249,0,1,0.9761818647384644
183,1900_01_TeamKJ_TeamB,9218,3.800000000000002,-2.294592992806859,-2.482877727025973,1.73595,0,1,0.9761818647384644
212,1900_01_TeamKJ_TeamB,9218,7.099999999999992,6.621193110979692,-2.331873128434533,4.73697,0,0,0.75872403383255
214,1900_01_TeamKJ_TeamB,9218,2.700000000000002,-2.274399030472214,-1.347215123945341,4.30755,0,1,0.9761818647384644
239,1900_01_TeamKJ_TeamB,9218,6.199999999999995,2.394638874669116,-5.652108910833492,4.10973,0,1,0.9761818647384644
242,1900_01_TeamKJ_TeamB,9218,6.099999999999995,-2.372598359491747,-5.077790819297013,0.902385,0,1,0.9761818647384644
251,1900_01_TeamKJ_TeamB,2196,2.500000000000001,0.1152381114990153,-1.015448348099562,7.02276,0,1,0.9740080237388611
253,1900_01_TeamKJ_TeamB,2196,5.099999999999999,4.993893709869274,-0.5001230893770852,3.43812,0,1,0.9664013385772705
264,1900_01_TeamKJ_TeamB,9218,2.300000000000001,2.051987272142427,-0.4701679008242347,2.932848,0,1,0.9761818647384644
71,1900_02_TeamKJ_TeamB,9218,3.400000000000002,1.928700142705733,-1.593502911678191,6.9231,0,1,0.9740080237388611
88,1900_02_TeamKJ_TeamB,2488,5.999999999999996,-5.462185042729581,-2.268588602850065,3.36234,0,1,0.9761818647384644
101,1900_02_TeamKJ_TeamB,9218,2.500000000000001,1.532034298751504,1.109877068620209,6.06744,0,0,0.9761818647384644
179,1900_02_TeamKJ_TeamB,2488,6.399999999999994,2.367751331821746,-5.814951328313617,4.77129,0,1,0.9761818647384644
211,1900_02_TeamKJ_TeamB,9218,3.100000000000002,1.525776688043576,-2.420914616053766,5.56974,0,1,0.9761818647384644
276,1900_02_TeamKJ_TeamB,2488,7.59999999999999,-3.417439720349033,-6.678666479004677,4.18479,0,1,0.8044742941856384
282,1900_02_TeamKJ_TeamB,2488,5.799999999999996,-3.24207929250369,-4.738812068558829,3.82818,0,1,0.9761818647384644
40,1900_03_TeamKJ_TeamB,2196,6.699999999999993,4.918776243143703,-4.1783645975291686,1.964955,0,1,0.9738966226577759
74,1900_03_TeamKJ_TeamB,2196,4.500000000000001,-1.217846743730346,-3.084347254896145,0,0,1,0.9640430212020874
111,1900_03_TeamKJ_TeamB,2196,8.299999999999988,-2.463640053552071,-7.783773632791101,2.680323,0,1,0.818600594997406
123,1900_03_TeamKJ_TeamB,9218,5.599999999999997,5.008493005345205,-1.439453724649777,6.546,0,1,0.9633683562278748
138,1900_03_TeamKJ_TeamB,9218,4.899999999999999,3.946496372334164,-2.171919158982048,6.29679,0,1,0.9761818647384644
142,1900_03_TeamKJ_TeamB,2196,4.600000000000001,2.275871365816209,-2.843830686988559,0.4308,0,1,0.9761818647384644
145,1900_03_TeamKJ_TeamB,2196,5.599999999999997,1.763497312034401,-5.2751942552334,4.14279,0,1,0.9761818647384644
147,1900_03_TeamKJ_TeamB,2196,6.299999999999994,-5.67312648665652,-2.713444378717971,4.28208,0,1,0.9761818647384644
165,1900_03_TeamKJ_TeamB,9218,3.300000000000002,0.8562692244582074,-0.691814039497421,0,0,1,0.9595797657966614
15,1900_04_TeamKK_TeamB,9545,4.300000000000002,-2.218417867910144,-3.680439248695317,3.84177,0,1,0.9761818647384644
58,1900_04_TeamKK_TeamB,9545,3.800000000000002,2.22886844592065,-0.5680365223990899,0,0,1,0.9595797657966614
68,1900_04_TeamKK_TeamB,2196,6.099999999999995,-0.5633470275242999,-5.791326914151838,1.570158,0,1,0.9761818647384644
70,1900_04_TeamKK_TeamB,2196,4.400000000000001,2.452190206513918,-3.207474347688106,1.88808,0,1,0.9761818647384644
128,1900_04_TeamKK_TeamB,2196,6.499999999999994,-1.374721601380465,-6.229598077620884,5.06577,0,1,0.9761818647384644
131,1900_04_TeamKK_TeamB,2196,4.100000000000002,3.828058388038581,-1.061173707631046,4.7859,0,1,0.9761818647384644
147,1900_04_TeamKK_TeamB,2196,2.500000000000001,-1.429241274252196,-1.798914825658491,3.05901,0,1,0.9761818647384644
195,1900_04_TeamKK_TeamB,2196,3.300000000000002,1.579842186130065,-2.855964894203666,4.59822,0,1,0.9761818647384644
206,1900_04_TeamKK_TeamB,9545,2.400000000000001,1.514393184465608,-1.353268522076868,5.64009,0,1,0.9761818647384644
220,1900_04_TeamKK_TeamB,2196,4.000000000000003,2.610269070376921,-2.922431951343534,4.99884,0,1,0.9761818647384644
221,1900_04_TeamKK_TeamB,2196,3.800000000000002,-1.527059841933741,-3.441023373816758,3.51807,0,1,0.9761818647384644
9,1900_05_TeamKK_TeamB,2196,4.7,4.031010814961997,-0.5997999496994215,1.016964,0,1,0.9761818647384644
24,1900_05_TeamKK_TeamB,2196,4.999999999999999,4.796344141759228,-1.33870967868762,4.03482,0,1,0.9664013385772705
44,1900_05_TeamKK_TeamB,2196,6.599999999999993,0.3787221699911747,-6.066893316843235,0.933738,0,1,0.9761818647384644
61,1900_05_TeamKK_TeamB,9545,8.099999999999989,-5.043990999131397,-5.799212906997075,0.813714,0,1,0.9677565693855286
117,1900_05_TeamKK_TeamB,2196,5.699999999999997,-5.451906973090112,-1.20283507047783,3.30777,0,1,0.9761818647384644
119,1900_05_TeamKK_TeamB,2196,5.299999999999998,4.375514112691278,-1.966307262265866,1.162374,0,1,0.9738966226577759
160,1900_05_TeamKK_TeamB,2196,4.600000000000001,-3.636461248485511,-2.703154719630974,3.80286,0,1,0.9761818647384644
210,1900_05_TeamKK_TeamB,2196,6.899999999999992,6.124381386620881,-3.144627420094731,3.40869,0,1,0.9664013385772705
6,1900_06_TeamKL_TeamB,2196,3.200000000000002,-2.316291192718948,-1.766462600943664,2.290212,0,1,0.9761818647384644
59,1900_06_TeamKL_TeamB,5458,3.400000000000002,-2.372473985597759,-2.356773066644699,3.82947,0,1,0.9761818647384644
60,1900_06_TeamKL_TeamB,2196,2.200000000000001,-1.763014970342063,0.5456039537519778,5.43081,0,1,0.9761818647384644
72,1900_06_TeamKL_TeamB,5458,2.700000000000002,2.504912298585369,-0.650655804858244,4.69725,0,1,0.9761818647384644
79,1900_06_TeamKL_TeamB,5458,1,0.08041248825737513,0.07103774864294059,4.27689,0,1,0.9761818647384644
111,1900_06_TeamKL_TeamB,2196,4.500000000000001,1.490478435135142,-3.862113244636554,1.818807,0,1,0.9761818647384644
133,1900_06_TeamKL_TeamB,2196,4.000000000000003,-0.8356326522833001,-0.5521540459310073,9.08406,0,0,0.27273544669151306
135,1900_06_TeamKL_TeamB,2196,6.099999999999995,3.591141282357375,-4.823175213502883,4.94136,0,1,0.9761818647384644
144,1900_06_TeamKL_TeamB,2196,2.000000000000001,-1.541249563903657,0.330823792624961,2.551731,0,1,0.9761818647384644
146,1900_06_TeamKL_TeamB,2196,2.600000000000001,1.769647720378853,-1.367031892736196,5.65947,0,1,0.9761818647384644
150,1900_06_TeamKL_TeamB,2196,4.500000000000001,-2.446920300034535,-3.656319949796355,4.13163,0,1,0.9761818647384644
152,1900_06_TeamKL_TeamB,5458,6.599999999999993,-1.668164747801814,-5.833039406192221,0.743166,0,1,0.9761818647384644
158,1900_06_TeamKL_TeamB,5458,7.099999999999992,-0.2258569676908504,-6.78631230051679,1.429542,0,1,0.8514279723167419
164,1900_06_TeamKL_TeamB,2196,3.700000000000002,2.440098101272187,-2.682216275054611,3.52653,0,1,0.9761818647384644
172,1900_06_TeamKL_TeamB,2196,2.300000000000001,1.848300447921308,-1.116925648471684,3.2646,0,1,0.9761818647384644
179,1900_06_TeamKL_TeamB,5458,4.300000000000002,4.187928482893348,-0.2149936561170584,3.13881,0,1,0.9761818647384644
8,1900_07_TeamKL_TeamB,2196,3.100000000000002,2.644894170232707,1.461011371711062,4.54275,0,1,0.9761818647384644
11,1900_07_TeamKL_TeamB,2196,5.199999999999998,3.470910224813225,-2.377176480887984,0,0,1,0.9182258248329163
15,1900_07_TeamKL_TeamB,5458,3.700000000000002,-0.6054803016365591,-1.932112114844812,0,0,1,0.9640430212020874
21,1900_07_TeamKL_TeamB,5458,2.200000000000001,0.279410594482458,0.838040989266613,1.375446,0,1,0.9761818647384644
83,1900_07_TeamKL_TeamB,5458,1.4,-0.3148613965562362,-1.20474673726832,4.82991,0,1,0.9761818647384644
99,1900_07_TeamKL_TeamB,2196,2.300000000000001,1.585651646174292,-1.661004008720248,4.14201,0,1,0.9761818647384644
101,1900_07_TeamKL_TeamB,2196,4.600000000000001,-4.350675551213818,-1.227594341820738,4.57098,0,1,0.9761818647384644
127,1900_07_TeamKL_TeamB,5458,4.899999999999999,-2.578564671475072,-4.119914901429476,3.85503,0,1,0.9761818647384644
128,1900_07_TeamKL_TeamB,5458,8.299999999999988,6.901793855836401,-4.007333458989761,1.172493,1,0,0.48727473616600037
131,1900_07_TeamKL_TeamB,5458,1.800000000000001,-0.8846887616004693,0.4945126642441208,5.81604,0,1,0.9761818647384644
134,1900_07_TeamKL_TeamB,5458,7.099999999999992,6.260607654523933,-2.62372699915909,1.241928,0,1,0.9719864726066589
154,1900_07_TeamKL_TeamB,5458,3.700000000000002,3.216680374997914,0.6027096855894153,6.06081,0,1,0.9761818647384644
156,1900_07_TeamKL_TeamB,5458,4.400000000000001,4.220315244309091,-0.4079724116313052,2.694795,0,1,0.9761818647384644
164,1900_07_TeamKL_TeamB,2196,4.200000000000002,-0.4103147014276473,-2.900894437202481,0,0,1,0.9640430212020874
185,1900_07_TeamKL_TeamB,2196,3.200000000000002,0.3471987285398648,-0.981037309637257,0,0,1,0.944094717502594
187,1900_07_TeamKL_TeamB,2196,3.300000000000002,-1.894569370276345,-1.417975077781931,1.09449,0,1,0.9761818647384644
4,1900_08_TeamKL_TeamB,1334,6.899999999999992,-0.2150963573324891,-6.872392223750204,4.55784,0,1,0.8603775501251221
14,1900_08_TeamKL_TeamB,1334,3.200000000000002,-0.640534174987067,-0.7425108825287458,0,0,1,0.944094717502594
24,1900_08_TeamKL_TeamB,5458,2.600000000000001,2.229466654168051,-0.03615920287693101,5.70729,0,1,0.9761818647384644
52,1900_08_TeamKL_TeamB,5458,5.599999999999997,3.149973931982396,-4.445952477009992,2.415351,0,1,0.9761818647384644
58,1900_08_TeamKL_TeamB,1334,4.000000000000003,-1.380110850991311,-3.673519641838875,3.21402,0,1,0.9761818647384644
82,1900_08_TeamKL_TeamB,5458,5.699999999999997,2.939590449099639,-4.743920104888169,5.53188,0,1,0.9761818647384644
115,1900_08_TeamKL_TeamB,5458,4.8,4.466973696918688,-0.8040403541095298,2.335257,0,1,0.9738966226577759
130,1900_08_TeamKL_TeamB,1334,4.300000000000002,0.2578116466539528,-4.224272904873638,4.64793,0,1,0.9761818647384644
134,1900_08_TeamKL_TeamB,1334,5.399999999999998,2.269820994836659,-3.827963440446978,7.97781,0,1,0.4674161374568939
174,1900_08_TeamKL_TeamB,1334,2.400000000000001,0.5488876440898343,-2.251811642692501,3.26409,0,1,0.9761818647384644
179,1900_08_TeamKL_TeamB,5458,6.299999999999994,4.681526202695492,-3.065908428749217,0.2509785,0,1,0.9738966226577759
186,1900_08_TeamKL_TeamB,5458,5.899999999999996,5.091169007492088,1.874597748092103,0.959889,0,1,0.9738966226577759
207,1900_08_TeamKL_TeamB,1334,6.599999999999993,0.8383342071037916,-6.477752401659057,4.17777,0,1,0.9694046974182129
220,1900_08_TeamKL_TeamB,5458,5.599999999999997,4.868165117674335,2.576437002346232,4.51554,0,1,0.9646319150924683
228,1900_08_TeamKL_TeamB,5458,4.8,3.195642882523547,-3.420756597213052,3.33705,0,1,0.9761818647384644
242,1900_08_TeamKL_TeamB,1334,5.499999999999997,-2.876497124075066,-4.568840175054045,3.61647,0,1,0.9761818647384644
253,1900_08_TeamKL_TeamB,5458,6.399999999999994,-0.1221566714517336,-5.543333744022616,0,1,0,0.4710663855075836
257,1900_08_TeamKL_TeamB,5458,1,0.03747638997502253,-0.7421749997099276,3.88341,0,1,0.9761818647384644
11,1900_09_TeamKK_TeamB,1334,4.600000000000001,3.712652211886799,-2.429001040257509,5.32914,0,1,0.9761818647384644
18,1900_09_TeamKK_TeamB,6424,6.799999999999993,5.126129047521381,4.346034096524957,3.03645,0,1,0.8792116045951843
23,1900_09_TeamKK_TeamB,6424,7.59999999999999,-3.721510417520786,-6.542682650280708,3.8919,0,1,0.9548646211624146
35,1900_09_TeamKK_TeamB,6424,5.399999999999998,0.9771936423385388,-5.237064311746906,3.651,0,1,0.9761818647384644
57,1900_09_TeamKK_TeamB,1334,7.799999999999989,-6.254523318277335,3.445672697910392,0,0,0,0.4359525740146637
